名字,tier,entity_type,业界/学界/其他,组织,研究方向,简介,tier_reason,Twitter,活跃情况,备注,source_authority,last_tweet_at,avg_interval_days,arxiv_author_query,openalex_url,scholar_url,github_url,personal_url,arxiv_homepage_url,affiliation_regex,orcid,关联信号,论文链接
Mike Zheng Shou,P1,person,,,,,NUS 多模态领军,https://x.com/MikeShou1,,[2026-06扩充] 来源:graph · 赛道:多模态,,,,"au:""Mike Zheng Shou""",https://openalex.org/A5068937750,,,,,,,"arxiv:2606.01399,arxiv:2606.04811,arxiv:2606.06904","https://arxiv.org/abs/2606.04811
https://arxiv.org/abs/2606.01399
https://arxiv.org/abs/2606.06904"
Ari Holtzman,P1,person,,,,,nucleus sampling 作者，UChicago,https://x.com/universeinanegg,,[2026-06扩充] 来源:graph · 赛道:认知模型,,,,"au:""Ari Holtzman""",,,,,,,,"arxiv:2606.00831,x:2061673727452987474,x:2063002149383246234,x:2063131884893135176,x:2064215259771031712","https://x.com/universeinanegg/status/2063002149383246234
https://x.com/universeinanegg/status/2063131884893135176
https://arxiv.org/abs/2606.00831
https://x.com/universeinanegg/status/2061673727452987474
https://x.com/universeinanegg/status/2064215259771031712"
Ethan Mollick,P1,person,,,,,AI 应用影响力作者，Wharton,https://x.com/emollick,,[2026-06扩充] 来源:graph · 赛道:产业·应用,,,,"au:""Ethan Mollick""",https://openalex.org/A5061686034,,,,,,,"x:2061501989985362340,x:2061502728459669523,x:2061506696875303083,x:2061483942310477999,x:2061484580092211706,x:2061931631124914452,x:2061907785768489127,x:2061908259137523824,x:2061905595360272648,x:2061876620638486584,x:2061659432233161023,x:2061659858990952727,x:2061815740542414949,x:2061799709275017711,x:2061810419736494366,x:2062257554609033528,x:2062249984574005351,x:2062235461364445204,x:2062208940658618605,x:2062191515925938266,x:2062039734453416361,x:2062072855509057962,x:2062189390445588744,x:2061977762861092994,x:2061978439595212831,x:2061979197535322213,x:2062645525111771521,x:2062602236434251784,x:2062602745509560555,x:2062582362194460698,x:2062580212768936344,x:2062580420588306942,x:2062573152547279042,x:2062510975513747606,x:2062512711691321730,x:2062393081568076038,x:2062393330848178330,x:2062355630573170968,x:2062356726360265126,x:2062746121055695077,x:2062737052479734205,x:2063368660798898284,x:2063307399537004907,x:2063340808904819038,x:2063073955968123062,x:2064109842390729123,x:2064052841367392536,x:2063814337353891919,x:2064471456914772172,x:2064471654617485602,x:2064424775527624736,x:2064395281903346013,x:2064403828506591444,x:2064376069923184981,x:2064344218693259280,x:2064158792145609114","https://x.com/emollick/status/2062393330848178330
https://x.com/emollick/status/2062573152547279042
https://x.com/emollick/status/2062356726360265126
https://x.com/emollick/status/2062602745509560555
https://x.com/emollick/status/2062510975513747606
https://x.com/emollick/status/2062355630573170968
https://x.com/emollick/status/2062582362194460698
https://x.com/emollick/status/2062645525111771521
https://x.com/emollick/status/2062580420588306942
https://x.com/emollick/status/2062580212768936344
https://x.com/emollick/status/2062393081568076038
https://x.com/emollick/status/2062512711691321730
https://x.com/emollick/status/2062602236434251784
https://x.com/emollick/status/2062737052479734205
https://x.com/emollick/status/2062746121055695077
https://x.com/emollick/status/2063340808904819038
https://x.com/emollick/status/2063307399537004907
https://x.com/emollick/status/2063073955968123062
https://x.com/emollick/status/2063368660798898284
https://x.com/emollick/status/2061483942310477999
https://x.com/emollick/status/2061501989985362340
https://x.com/emollick/status/2061506696875303083
https://x.com/emollick/status/2061502728459669523
https://x.com/emollick/status/2061484580092211706
https://x.com/emollick/status/2061815740542414949
https://x.com/emollick/status/2061908259137523824
https://x.com/emollick/status/2061810419736494366
https://x.com/emollick/status/2061659858990952727
https://x.com/emollick/status/2061905595360272648
https://x.com/emollick/status/2061931631124914452
https://x.com/emollick/status/2061799709275017711
https://x.com/emollick/status/2061907785768489127
https://x.com/emollick/status/2061876620638486584
https://x.com/emollick/status/2061659432233161023
https://x.com/emollick/status/2062249984574005351
https://x.com/emollick/status/2062257554609033528
https://x.com/emollick/status/2061978439595212831
https://x.com/emollick/status/2062208940658618605
https://x.com/emollick/status/2061979197535322213
https://x.com/emollick/status/2061977762861092994
https://x.com/emollick/status/2062189390445588744
https://x.com/emollick/status/2062072855509057962
https://x.com/emollick/status/2062191515925938266
https://x.com/emollick/status/2062235461364445204
https://x.com/emollick/status/2062039734453416361
https://x.com/emollick/status/2063814337353891919
https://x.com/emollick/status/2064109842390729123
https://x.com/emollick/status/2064052841367392536
https://x.com/emollick/status/2064395281903346013
https://x.com/emollick/status/2064424775527624736
https://x.com/emollick/status/2064471654617485602
https://x.com/emollick/status/2064403828506591444
https://x.com/emollick/status/2064344218693259280
https://x.com/emollick/status/2064158792145609114
https://x.com/emollick/status/2064376069923184981
https://x.com/emollick/status/2064471456914772172"
Eric Jang,P1,person,,,,,1X 机器人 AI VP,https://x.com/ericjang11,,[2026-06扩充] 来源:graph · 赛道:世界模型·具身,,,,"au:""Eric Jang""",https://openalex.org/A5083516691,,,,,,,"x:2062984551715274809,x:2062900796732375228,x:2064125297696575617","https://x.com/ericjang11/status/2062984551715274809
https://x.com/ericjang11/status/2062900796732375228
https://x.com/ericjang11/status/2064125297696575617"
Irina Rish,P1,person,,,,,Mila，scaling/continual learning,https://x.com/irinarish,,[2026-06扩充] 来源:graph · 赛道:认知模型,,,,"au:""Irina Rish""",https://openalex.org/A5055430458,,,,,,,,
Peter Welinder,P1,person,,,,,OpenAI VP Product,https://x.com/npew,,[2026-06扩充] 来源:graph · 赛道:产业·应用,,,,"au:""Peter Welinder""",,,,,,,,,
Alexander Wei,P1,person,,,,,OpenAI 推理（IMO/CICERO）,https://x.com/alexwei_,,[2026-06扩充] 来源:graph · 赛道:认知模型·推理,,,,"au:""Alexander Wei""",,,,,,,,,
Niklas Muennighoff,P1,person,,,,,MTEB/OLMo，Stanford,https://x.com/Muennighoff,,[2026-06扩充] 来源:graph · 赛道:认知模型,,,,"au:""Niklas Muennighoff""",https://openalex.org/A5000043237,,,,,,,,
Sebastian Ruder,P1,person,,,,,NLP 研究/博客领军，Meta,https://x.com/seb_ruder,,[2026-06扩充] 来源:graph · 赛道:认知模型·NLP,,,,"au:""Sebastian Ruder""",https://openalex.org/A5037310413,,,,,,,,
He He,P1,person,,,,,NYU NLP 教授,https://x.com/hhexiy,,[2026-06扩充] 来源:graph · 赛道:认知模型·NLP,,,,"au:""He He""",,,,,,,,arxiv:2606.00188,https://arxiv.org/abs/2606.00188
Ryan Greenblatt,P1,person,,,,,Redwood Research 首席科学家,https://x.com/RyanPGreenblatt,,[2026-06扩充] 来源:graph · 赛道:AI安全,,,,"au:""Ryan Greenblatt""",,,,,,,,"x:2061865622657716306,x:2061865627867087009,x:2061866201115164875,x:2062575427378618519","https://x.com/RyanPGreenblatt/status/2062575427378618519
https://x.com/RyanPGreenblatt/status/2061865627867087009
https://x.com/RyanPGreenblatt/status/2061866201115164875
https://x.com/RyanPGreenblatt/status/2061865622657716306"
Max Tegmark,P1,person,,,,,Future of Life Institute，AI 安全/物理,https://x.com/tegmark,,[2026-06扩充] 来源:graph · 赛道:AI安全,,,,"au:""Max Tegmark""",https://openalex.org/A5091601455,,,,,,,"x:2063968788073050350,arxiv:2606.08629,x:2064413789940764686","https://x.com/tegmark/status/2063968788073050350
https://arxiv.org/abs/2606.08629
https://x.com/tegmark/status/2064413789940764686"
Yisong Yue,P1,person,,,,,Caltech 机器学习,https://x.com/yisongyue,,[2026-06扩充] 来源:graph · 赛道:认知模型·ML,,,,"au:""Yisong Yue""",https://openalex.org/A5085826758,,,,,,,,
Fei Xia,P1,person,,,,,DeepMind 具身（SayCan）,https://x.com/xf1280,,[2026-06扩充] 来源:graph · 赛道:世界模型·具身,,,,"au:""Fei Xia""",,,,,,,,,
Diyi Yang,P1,person,,,,,Stanford NLP,https://x.com/Diyi_Yang,,[2026-06扩充] 来源:graph · 赛道:认知模型·NLP,,,,"au:""Diyi Yang""",https://openalex.org/A5089413311,,,,,,,x:2062929716311695474,https://x.com/Diyi_Yang/status/2062929716311695474
Sharon Zhou,P1,person,,,,,AMD AI VP / Stanford,https://x.com/realSharonZhou,,[2026-06扩充] 来源:graph · 赛道:认知模型,,,,"au:""Sharon Zhou""",,,,,,,,,
Shengding Hu,P1,person,,,,,清华 / DeepSeek,https://x.com/DeanHu11,,[2026-06扩充] 来源:graph · 赛道:认知模型,,,,"au:""Shengding Hu""",,,,,,,,,
Albert Q. Jiang,P1,person,,,,,Mistral 科学家,https://x.com/AlbertQJiang,,[2026-06扩充] 来源:graph · 赛道:认知模型,,,,"au:""Albert Q. Jiang""",,,,,,,,arxiv:2606.09380,https://arxiv.org/abs/2606.09380
Jay Alammar,P1,person,,,,,Illustrated Transformer 博客作者,https://x.com/JayAlammar,,[2026-06扩充] 来源:seed · 赛道:认知模型·教育,,,,"au:""Jay Alammar""",,,,,,,,,
Latent Space,P1,media,其他,,,,,,,,media,,,,,,,,,,,,
硅谷101,P1,media,其他,,,,,,,,media,,,,,,,,,,,,
Ze Liu,P2,person,业界,xAI,Multimodal,Member of Technical Staff at xAI,,https://x.com/zeliu_,不活跃,,employee,,,"au:""Ze Liu""",,https://scholar.google.com/citations?user=9DbprTIAAAAJ&hl=zh-CN,https://github.com/zeliu98,https://zeliu98.github.io,https://arxiv.org/search/?searchtype=author&query=Ze+Liu&start=0,,,"arxiv:2605.24844,arxiv:2605.24844,x:2060887385010057262,x:2060887385010057262,x:2062464366159839406,x:2062447227717697709","https://arxiv.org/abs/2605.24844
https://arxiv.org/abs/2605.24844
https://x.com/zeliu_/status/2060887385010057262
https://x.com/zeliu_/status/2062464366159839406
https://x.com/zeliu_/status/2062447227717697709
https://x.com/zeliu_/status/2060887385010057262"
Zexuan Zhong,P2,person,业界,xAI,Efficient LLM,Fifth-year Ph.D. student at Princeton,,https://x.com/zexuanzhong,不活跃,,employee,,,"au:""Zexuan Zhong""",,https://scholar.google.com/citations?user=jHEvHNYAAAAJ&hl=en,https://github.com/a3616001,https://zexuan.me,https://arxiv.org/search/?searchtype=author&query=Zexuan+Zhong&start=0,,,arxiv:2605.11118v1,http://arxiv.org/abs/2605.11118v1
Qian Huang,P2,person,业界,xAI,Reasoning,CS PhD student at StanfordAILab,,https://x.com/qhwang3,不活跃,,employee,,,"au:""Qian Huang""",,https://scholar.google.com/citations?user=L3hkmG0AAAAJ&hl=en,,https://q-hwang.github.io/,https://arxiv.org/search/?searchtype=author&query=Qian+Huang&start=0,,,arxiv:2604.23094v1,http://arxiv.org/abs/2604.23094v1
Zihang Dai,P2,person,业界,xAI,,,,https://x.com/ZihangDai,不活跃,,employee,,,"au:""Zihang Dai""",,,,,https://arxiv.org/search/?searchtype=author&query=Zihang+Dai&start=0,,,arxiv:2605.11714v1,http://arxiv.org/abs/2605.11714v1
Jimmy Ba,P2,person,业界,xAI,,,,https://x.com/jimmybajimmyba,不活跃,,employee,,,"au:""Jimmy Ba""",,,,,https://arxiv.org/search/?searchtype=author&query=Jimmy+Ba&start=0,,,,
Yi Wan,P2,person,业界,Meta,RL,Researcher at Meta AI,,https://x.com/yiwan89352121,不活跃,,employee,,,"au:""Yi Wan""",,https://scholar.google.com/citations?user=zMVstroAAAAJ&amp;hl=en&amp;oi=sra,,https://sites.google.com/view/yi-wan/,https://arxiv.org/search/?searchtype=author&query=Yi+Wan&start=0,,,,
Mike Lewis,P2,person,业界,Meta,pretrain,"Llama3 pre-training lead. Partially to blame for things like the Cicero Diplomacy bot, BART, RoBERTa, kNN-LM, top-k sampling & Deal Or No Deal.",,https://x.com/ml_perception,不活跃,,employee,,,"au:""Mike Lewis""",https://openalex.org/A5004412943,,,,https://arxiv.org/search/?searchtype=author&query=Mike+Lewis&start=0,,,,
Zeyuan Allen-Zhu,P2,person,业界,Meta,TCS,Physics of language models @ Meta / FAIR,,https://x.com/ZeyuanAllenZhu,不活跃,,employee,,,"au:""Zeyuan Allen-Zhu""",https://openalex.org/A5048981295,,,http://zeyuan.allen-zhu.com,https://arxiv.org/search/?searchtype=author&query=Zeyuan+Allen-Zhu&start=0,,,x:2064078394485014696,https://x.com/giffmana/status/2064078394485014696
"Yuxiang Wei
",P2,person,业界,Meta,LLM4Code,PhD student at UIUC | Researcher at AIatMeta (Meta FAIR).,,https://x.com/YuxiangWei9,不活跃,,employee,,,"au:""Yuxiang Wei""",,https://scholar.google.com/citations?user=Clrvw6kAAAAJ&amp;hl=en&amp;oi=ao,https://github.com/UniverseFly,https://yuxiang.cs.illinois.edu,https://arxiv.org/search/?searchtype=author&query=Yuxiang+Wei%0A&start=0,,,x:2054228334955889062,https://x.com/YuxiangWei9/status/2054228334955889062
Chunting Zhou,P2,person,业界,Meta,Generative AI,Research Scientist at FAIR,,https://x.com/violet_zct,不活跃,,employee,,,"au:""Chunting Zhou""",,,,https://violet-zct.github.io/,https://arxiv.org/search/?searchtype=author&query=Chunting+Zhou&start=0,,,arxiv:2605.08077v1,http://arxiv.org/abs/2605.08077v1
Aston Zhang,P2,person,业界,Meta,"pretrain, Long-context",Research Scientist on the #llama team at Meta Generative AI,,https://x.com/astonzhangAZ,不活跃,,employee,,,"au:""Aston Zhang""",,,,http://astonzhang.com,https://arxiv.org/search/?searchtype=author&query=Aston+Zhang&start=0,,,"arxiv:2605.11495v1,arxiv:2605.12826v1,arxiv:2605.28629","http://arxiv.org/abs/2605.12826v1
http://arxiv.org/abs/2605.11495v1
https://arxiv.org/abs/2605.28629"
Samuel L Smith,P2,person,业界,Google,Efficient LLM,Research Scientist at DeepMind. Optimization and Initialization,,https://x.com/SamuelMLSmith,不活跃,,employee,,,"au:""Samuel L Smith""",,,,,https://arxiv.org/search/?searchtype=author&query=Samuel+L+Smith&start=0,,,arxiv:2605.15183v1,http://arxiv.org/abs/2605.15183v1
Pengcheng Yin(殷鹏程),P2,person,业界,Google,Reasoning,Research scientist at Google Deepmind,,https://x.com/pengchengyin,不活跃,,employee,,,"au:""Pengcheng Yin""",,https://scholar.google.com/citations?user=t5lVb6sAAAAJ&hl=en,,http://pengcheng.in,https://arxiv.org/search/?searchtype=author&query=Pengcheng+Yin%28%E6%AE%B7%E9%B9%8F%E7%A8%8B%29&start=0,,,arxiv:2605.03546v1,http://arxiv.org/abs/2605.03546v1
Tim Rocktaschel,P2,person,业界,Google,World model,Director and Open-Endedness Team Lead at Deepmind；Professor of AI in UCL,,https://x.com/_rockt,不活跃,,employee,,,"au:""Tim Rocktaschel""",,https://scholar.google.co.uk/citations?user=mWBY8aIAAAAJ&hl=en,https://github.com/rockt,http://rockt.ai,https://arxiv.org/search/?searchtype=author&query=Tim+Rocktaschel&start=0,,,"x:2052429203522334964,x:2052429203522334964,x:2054139907384201458,x:2054491263710195940,x:2054611313255489672,x:2061836379844235439,x:2063930801629098180","https://x.com/_rockt/status/2052429203522334964
https://x.com/_rockt/status/2052429203522334964
https://x.com/_rockt/status/2054611313255489672
https://x.com/_rockt/status/2054680990962843730
https://x.com/_rockt/status/2054139907384201458
https://x.com/_rockt/status/2054491260774236273
https://x.com/_rockt/status/2054491263710195940
https://x.com/_rockt/status/2061836379844235439
https://x.com/_rockt/status/2063930801629098180"
Hao Liu ,P2,person,业界,Google,World model,AI research at google deepmind,,https://x.com/haoliuhl,不活跃,,employee,,,"au:""Hao Liu""",,,,http://haoliu.ai,https://arxiv.org/search/?searchtype=author&query=Hao+Liu+&start=0,,,"arxiv:2605.06547v1,arxiv:2605.08054v1,arxiv:2605.10898v1,arxiv:2605.24573,arxiv:2605.24573,arxiv:2605.28398,arxiv:2605.29488,arxiv:2606.00793,arxiv:2606.01526,arxiv:2606.03841,arxiv:2606.05405,arxiv:2606.05852","http://arxiv.org/abs/2605.06547v1
http://arxiv.org/abs/2605.08054v1
http://arxiv.org/abs/2605.10898v1
https://arxiv.org/abs/2605.24573
https://arxiv.org/abs/2605.24573
https://arxiv.org/abs/2605.28398
https://arxiv.org/abs/2605.29488
https://arxiv.org/abs/2606.05852
https://arxiv.org/abs/2606.05405
https://arxiv.org/abs/2606.00793
https://arxiv.org/abs/2606.01526
https://arxiv.org/abs/2606.03841"
De-An Huang,P2,person,业界,NVIDIA,Embodiment,Research Scientist,,https://x.com/deanh_tw,不活跃,,employee,,,"au:""De-An Huang""",,https://scholar.google.com/citations?user=HEY3UzgAAAAJ&hl=en,,http://ai.stanford.edu/~dahuang/,https://arxiv.org/search/?searchtype=author&query=De-An+Huang&start=0,,,,
Wenliang Dai,P2,person,业界,NVIDIA,Multimodal,Research Scientist at NVIDIA,,https://x.com/wenliang_dai,不活跃,,employee,,,"au:""Wenliang Dai""",,https://scholar.google.com/citations?user=-_xy3jAAAAAJ&hl=en/,https://github.com/wenliangdai/,http://wenliangdai.github.io,https://arxiv.org/search/?searchtype=author&query=Wenliang+Dai&start=0,,,arxiv:2606.02800,https://arxiv.org/abs/2606.02800
Lilian Weng,P2,person,业界,OpenAI,Safety,Applied research at OpenAI,,https://x.com/lilianweng,不活跃,已离职，持续关注,employee,,,"au:""Lilian Weng""",,https://scholar.google.com/citations?user=dCa-pW8AAAAJ&amp;hl=en&amp;oi=ao,https://github.com/lilianweng,https://lilianweng.github.io,https://arxiv.org/search/?searchtype=author&query=Lilian+Weng&start=0,,,"x:2053940822438281608,x:2056792244083191829","https://x.com/lilianweng/status/2053940822438281608
https://x.com/lilianweng/status/2056792244083191829"
Barret Zoph,P2,person,业界,OpenAI,posttrain,VP Research,,https://x.com/barret_zoph,不活跃,,employee,,,"au:""Barret Zoph""",,https://scholar.google.com/citations?user=H-BnRI0AAAAJ&hl=en&oi=ao,,http://barretzoph.github.io/,https://arxiv.org/search/?searchtype=author&query=Barret+Zoph&start=0,,,,
Yang Song,P2,person,业界,OpenAI,Generative AI,Leading Strategic Explorations at OpenAI,,https://x.com/DrYangSong,不活跃,,employee,,,"au:""Yang Song""",,https://scholar.google.com/citations?user=o_J2CroAAAAJ,https://github.com/yang-song,http://yang-song.net,https://arxiv.org/search/?searchtype=author&query=Yang+Song&start=0,,,"arxiv:2605.30179,arxiv:2605.30179,arxiv:2606.03551,x:2062610871776375280,arxiv:2606.09433","https://arxiv.org/abs/2605.30179
https://arxiv.org/abs/2605.30179
https://x.com/sedielem/status/2062610871776375280
https://arxiv.org/abs/2606.03551
https://arxiv.org/abs/2606.09433"
Botao Hao,P2,person,业界,OpenAI,RL,Research Scientist at OpenAI. Previously at Deepmind.,,https://x.com/botaohao2,不活跃,,employee,,,"au:""Botao Hao""",,https://scholar.google.com/citations?user=7Pi9XrQAAAAJ&hl=en,,http://haobotao000.github.io,https://arxiv.org/search/?searchtype=author&query=Botao+Hao&start=0,,,,
Ilya Sutskever,P2,person,业界,OpenAI,Safety,OpenAI联合创始人兼首席科学家,,https://x.com/ilyasut,不活跃,,employee,,,"au:""Ilya Sutskever""",,,,,https://arxiv.org/search/?searchtype=author&query=Ilya+Sutskever&start=0,,,"x:2057505953222955053,x:2061523354121797759,x:2062564414142972041,x:2062564426402906478","https://x.com/rohanpaul_ai/status/2057505953222955053
https://x.com/dwarkesh_sp/status/2062564426402906478
https://x.com/dwarkesh_sp/status/2062564414142972041
https://x.com/dwarkesh_sp/status/2061523354121797759"
Leopold Aschenbrenner,P2,person,业界,OpenAI,,OpenAI研究员,,https://x.com/leopoldasch,不活跃,,employee,,,"au:""Leopold Aschenbrenner""",,,,,https://arxiv.org/search/?searchtype=author&query=Leopold+Aschenbrenner&start=0,,,x:2056824881614836072,https://x.com/IntuitMachine/status/2056824881614836072
Sam Altman,P2,person,业界,OpenAI,,,,https://x.com/sama,,,employee,,,"au:""Sam Altman""",,,,http://blog.samaltman.com,https://arxiv.org/search/?searchtype=author&query=Sam+Altman&start=0,,,"x:2048910739784826966,x:2048554097985593849,x:2047823357635354814,x:2047683787828703289,x:2041658719839383945,x:2051829422265979047,x:2051783339502375418,x:2051758152224506203,x:2051724685231214650,x:2051690237420826838,x:2051670144842395990,x:2051464155094507902,x:2052485051812909530,x:2052462428663992564,x:2052485051812909530,x:2052462271667028211,x:2052462428663992564,x:2053566155571560868,x:2053191344999604409,x:2052887698717986956,x:2053971387308745046,x:2053951874408276193,x:2054944875335106995,x:2054627102922797323,x:2054626219858293128,x:2056435834333934051,x:2056429443351257271,x:2056933166875857290,x:2056827105401614656,x:2056834734915977382,x:2056804900017947046,x:2056830143361077644,x:2057119153337545096,x:2057454230424945030,x:2057614780727480741,x:2057559714788258003,x:2057515035472380237,x:2057505953222955053,x:2059333775251968459,x:2059492605634007125,x:2061101875303530871,x:2061117302528188712,x:2061101875303530871,x:2061230946029064250,x:2061562575322492937,x:2061586179292831774,x:2061539438162031008,x:2061828631089844709,x:2061958144981709136,x:2061973280655904815,x:2062661191969972645,x:2062661071761211561,x:2062660086787613116,x:2062631044382388615,x:2062687920541389112,x:2062609741764063332,x:2062889573517242767,x:2062897928440828090,x:2063073628304839023,x:2064088940932641225,x:2064096574142390755,x:2064116823298310232,x:2063938859583389837,x:2064451860963250299","https://x.com/sama/status/2051829422265979047
https://x.com/sama/status/2051671472142512190
https://x.com/sama/status/2051758152224506203
https://x.com/sama/status/2051783339502375418
https://x.com/sama/status/2051716909629153573
https://x.com/sama/status/2051464155094507902
https://x.com/sama/status/2051690237420826838
https://x.com/sama/status/2051758445402223051
https://x.com/sama/status/2051464865634742334
https://x.com/sama/status/2051724685231214650
https://x.com/sama/status/2051670144842395990
https://x.com/sama/status/2047683787828703289
https://x.com/sama/status/2047787124846653895
https://x.com/sama/status/2047823357635354814
https://x.com/sama/status/2041658719839383945
https://x.com/sama/status/2048554097985593849
https://x.com/sama/status/2048755148361707946
https://x.com/sama/status/2048913887614115857
https://x.com/sama/status/2048751392031203544
https://x.com/sama/status/2048910739784826966
https://x.com/sama/status/2052485051812909530
https://x.com/sama/status/2052462271667028211
https://x.com/sama/status/2052558319940944256
https://x.com/sama/status/2052462428663992564
https://x.com/sama/status/2052485051812909530
https://x.com/sama/status/2052558319940944256
https://x.com/sama/status/2052462428663992564
https://x.com/sama/status/2052462271667028211
https://x.com/WolframRvnwlf/status/2054944875335106995
https://x.com/sama/status/2054773491522822264
https://x.com/sama/status/2054626219858293128
https://x.com/sama/status/2054627102922797323
https://x.com/sama/status/2053154960473506101
https://x.com/sama/status/2053572868936761350
https://x.com/sama/status/2052887698717986956
https://x.com/sama/status/2053151542916894775
https://x.com/sama/status/2053191344999604409
https://x.com/sama/status/2053566155571560868
https://x.com/sama/status/2053192407664259251
https://x.com/sama/status/2053192920933777486
https://x.com/sama/status/2053951875654054011
https://x.com/sama/status/2053970698725679437
https://x.com/sama/status/2053971387308745046
https://x.com/sama/status/2053951874408276193
https://x.com/TechCrunch/status/2056429443351257271
https://x.com/sama/status/2056435834333934051
https://x.com/rohanpaul_ai/status/2059333775251968459
https://x.com/sama/status/2059492605634007125
https://x.com/sama/status/2056834734915977382
https://x.com/sama/status/2056827105401614656
https://x.com/sama/status/2056804900017947046
https://x.com/sama/status/2056933166875857290
https://x.com/swyx/status/2057119153337545096
https://x.com/TechCrunch/status/2056830143361077644
https://x.com/rohanpaul_ai/status/2057454230424945030
https://x.com/sama/status/2057614780727480741
https://x.com/sama/status/2057559714788258003
https://x.com/sama/status/2057515035472380237
https://x.com/rohanpaul_ai/status/2057505953222955053
https://x.com/sama/status/2062661071761211561
https://x.com/sama/status/2062660086787613116
https://x.com/sama/status/2062661191969972645
https://x.com/TechCrunch/status/2062687920541389112
https://x.com/TechCrunch/status/2062609741764063332
https://x.com/rohanpaul_ai/status/2062631044382388615
https://x.com/paulg/status/2062889573517242767
https://x.com/paulg/status/2062897928440828090
https://x.com/Molson_Hart/status/2063073628304839023
https://x.com/sama/status/2061101875303530871
https://x.com/rohanpaul_ai/status/2061230946029064250
https://x.com/sama/status/2061117302528188712
https://x.com/sama/status/2061101875303530871
https://x.com/sama/status/2061562575322492937
https://x.com/rohanpaul_ai/status/2061586179292831774
https://x.com/TechCrunch/status/2061539438162031008
https://x.com/sama/status/2061828631089844709
https://x.com/rohanpaul_ai/status/2061958144981709136
https://x.com/sama/status/2061973280655904815
https://x.com/sama/status/2064088940932641225
https://x.com/NandoDF/status/2063938859583389837
https://x.com/rohanpaul_ai/status/2064096574142390755
https://x.com/TechCrunch/status/2064116823298310232
https://x.com/xwang_lk/status/2064451860963250299"
Bo Zhang (Tony),P2,person,业界,Microsoft,"Multimodal, Embodiment",Senior Researcher at MSRA. Prev at Deepseek,,https://x.com/zhangboknight,不活跃,,employee,,,"au:""Bo Zhang (Tony)""",,https://scholar.google.com/citations?user=PefHCMUAAAAJ&hl,https://github.com/zhangmozhe,https://bo-zhang.me,https://arxiv.org/search/?searchtype=author&query=Bo+Zhang+%28Tony%29&start=0,,,x:2062456758908457237,https://x.com/zhangboknight/status/2062456758908457237
Yi Zhang,P2,person,业界,Microsoft,Reasoning,Senior research in MSR,,https://x.com/YiZhangZZZ,不活跃,,employee,,,"au:""Yi Zhang""",,https://scholar.google.com/citations?user=lc6CVqEAAAAJ&amp;hl=en,https://github.com/yizhangzzz,https://www.yi-zhang.me/,https://arxiv.org/search/?searchtype=author&query=Yi+Zhang&start=0,,,"arxiv:2604.24073v1,arxiv:2605.08011v1,arxiv:2605.13492v1,arxiv:2605.19446,arxiv:2605.27209,arxiv:2605.30117,arxiv:2605.30117,arxiv:2605.29532,arxiv:2605.29453,arxiv:2606.02871,arxiv:2606.08959,arxiv:2606.08525","http://arxiv.org/abs/2604.24073v1
http://arxiv.org/abs/2605.13492v1
http://arxiv.org/abs/2605.08011v1
https://arxiv.org/abs/2605.27209
https://arxiv.org/abs/2605.19446
https://arxiv.org/abs/2605.30117
https://arxiv.org/abs/2605.30117
https://arxiv.org/abs/2605.29453
https://arxiv.org/abs/2605.29532
https://arxiv.org/abs/2606.02871
https://arxiv.org/abs/2606.08959
https://arxiv.org/abs/2606.08525"
John Langford,P2,person,业界,Microsoft,RL,,,https://x.com/JohnCLangford,不活跃,,employee,,,"au:""John Langford""",https://openalex.org/A5052281052,,,http://hunch.net/~jl,https://arxiv.org/search/?searchtype=author&query=John+Langford&start=0,,,"x:2048836384979308597,x:2057860827336638516","https://x.com/JohnCLangford/status/2048836384979308597
https://x.com/JohnCLangford/status/2057860827336638516"
Jianfeng Gao,P2,person,业界,Microsoft,Multimodal,"Distinguished Scientist & Vice President, Microsoft Research. ",,https://x.com/jianfenggao0217?lang=en,不活跃,,employee,,,"au:""Jianfeng Gao""",https://openalex.org/A5047233371,,,https://www.microsoft.com/en-us/research/people/jfgao/,https://arxiv.org/search/?searchtype=author&query=Jianfeng+Gao&start=0,,,arxiv:2605.13625v1,http://arxiv.org/abs/2605.13625v1
